date	pupularity	change
20110201	0	50.3181666926
20110301	0	92.6230550641
20110401	0	29.4577590107
20110501	0	39.4707864712
20110601	0	56.5244991304
20110701	0	30.478536516
20110801	0	10.8522031948
20110901	0	21.5657941239
20111001	0	12.606875142
20111101	0	0
20111201	0	1.56820172407
20120101	0	31.7685956414
20120201	0	0
20120301	0	0.698970004336
20120401	0	0
20120501	0	8.84875041762
20120601	0	0
20120701	0	0
20120801	0	1.32221929473
20120901	0	0
20121001	0	0
20121101	0	0
20121201	0	0
20130101	0	0
20130201	0	0.23856062736
20130301	0	1.51851393988
20130401	0	0
20130501	0	0
20130601	0	0
20130701	0	0
20130801	0	0
20130901	0	0
20131001	0	0
20131101	0	0
20131201	0	0
20140101	0	0
20140201	0	0
20140301	0	0
20140401	0	0
20140501	1	0.954242509439
20140601	0	0
20140701	0	0
20140801	0	0
20140901	0	0
20141001	0	0
20141101	1	0
20141201	0	0
20150101	0	0
20150201	1	0
20150301	0	0
20150401	0	0
20150501	0	0
20150601	0	0
20150701	0	0
20150801	0	0
20150901	2	0
20151001	21	0
20151101	1	0
20151201	0	0
20160101	3	0
20160201	1	0
20160301	4	0
20160401	4	0
20160501	6	43.7922757934
20160601	6	172.898203997
20160701	3	0
20160801	5	0
20160901	5	0
20161001	3	0
20161101	2	0
20161201	3	0
20170101	8	0
20170201	3	0
20170301	0	0
