date	pupularity	change
20150401	1	13.9373023726
20150501	0	0
20150601	1	0
20150701	3	1.20411998266
20150801	0	0
20150901	1	0
20151001	0	0
20151101	0	0
20151201	0	0
20160101	0	0
20160201	0	0
20160301	2	0
20160401	0	0
20160501	5	0
20160601	1	0
20160701	3	0
20160801	0	0
20160901	2	0
20161001	0	0
20161101	0	0
20161201	0	0
20170101	0	0
20170201	0	0
20170301	0	0
